source,target,source_group,target_group,forward_support,reverse_support,shared_support_min,union_support_max,direction_balance,sign
L16H4,L17H8,no_tool_bias_backbone,symmetric_backbone,0.10295024410106442,0.1275231337974426,0.10295024410106442,0.1275231337974426,0.1066192109493847,no_tool_bias
MLP12,L13H9,no_tool_bias_backbone,symmetric_backbone,0.10105096226170852,0.14090573257114536,0.10105096226170852,0.14090573257114536,0.1647186094064019,no_tool_bias
L21H1,L24H6,tool_bias_backbone,symmetric_backbone,0.3971954525985721,0.09305910558222018,0.09305910558222018,0.3971954525985721,-0.6203641392849526,tool_bias
MLP12,L16H4,no_tool_bias_backbone,no_tool_bias_backbone,0.08882627239533265,0.27258616986143863,0.08882627239533265,0.27258616986143863,0.5084492839224135,no_tool_bias
MLP12,L17H8,no_tool_bias_backbone,symmetric_backbone,0.08743918273700484,0.1473476938896082,0.08743918273700484,0.1473476938896082,0.25516124245682287,no_tool_bias
L16H8,L17H8,no_tool_bias_backbone,symmetric_backbone,0.08175069484722092,0.21107736237357858,0.08175069484722092,0.21107736237357858,0.44164711794963757,no_tool_bias
L16H8,L17H2,no_tool_bias_backbone,no_tool_tail,0.07999726182406217,0.18670697764113403,0.07999726182406217,0.18670697764113403,0.4001050603134378,no_tool_bias
MLP12,L16H8,no_tool_bias_backbone,no_tool_bias_backbone,0.07541408244311214,0.29965684563577605,0.07541408244311214,0.29965684563577605,0.5978676202424817,no_tool_bias
L21H1,L23H6,tool_bias_backbone,tool_bias_backbone,0.8697577760988686,0.07497920265749305,0.07497920265749305,0.8697577760988686,-0.841269677500727,tool_bias
MLP19,L23H6,symmetric_backbone,tool_bias_backbone,0.06392367992455446,0.4975182430740267,0.06392367992455446,0.4975182430740267,0.7722874715762328,no_tool_bias
L20H5,L21H1,symmetric_backbone,tool_bias_backbone,0.35596700403144654,0.06364791126343083,0.06364791126343083,0.35596700403144654,-0.6966365639376602,tool_bias
