condition,layer,head,key_span,decision_mass_mean,decision_density_mean
corrupt,13,L13H7,instruction_suffix,0.044914211518910216,0.004990467941807316
corrupt,13,L13H7,task_body,0.12054473455638937,0.0015629265573616684
corrupt,13,L13H7,assistant_prefix,0.2225522114571644,0.02472802348441017
corrupt,13,L13H8,system_preamble,0.4906998788442947,0.014019996536254443
corrupt,13,L13H8,tools_block,0.0014370356040370124,2.6611770434663552e-05
corrupt,13,L13H8,tool_instruction,0.002610948447839419,0.0001186794748214766
corrupt,13,L13H8,tool_call_example,0.0038697131028366887,0.000168248395891131
corrupt,13,L13H8,user_lead_phrase,0.0018597041297989927,0.0009706505621737364
corrupt,13,L13H8,function_body_anchor,0.0059981498548773195,0.0014995374637193299
corrupt,13,L13H8,file_target,0.006199662705185844,0.003099831352592922
corrupt,13,L13H8,instruction_suffix,0.00843920907946509,0.0009376898998984206
corrupt,13,L13H8,task_body,0.0981091213026499,0.001298584348082547
corrupt,13,L13H8,assistant_prefix,0.38077657496159134,0.04230850835986442
corrupt,13,L13H9,system_preamble,0.6688638101906828,0.019110394582359497
corrupt,13,L13H9,tools_block,0.0017818378938326974,3.2996998038786395e-05
corrupt,13,L13H9,tool_instruction,0.0026138199890033934,0.0001188099994060476
corrupt,13,L13H9,tool_call_example,0.004819927975087627,0.0002095620858524233
corrupt,13,L13H9,user_lead_phrase,0.008052715700415198,0.004318014116050068
corrupt,13,L13H9,function_body_anchor,0.03812153313312,0.00953038328328
corrupt,13,L13H9,file_target,0.08734172466572737,0.043670862332863686
corrupt,13,L13H9,instruction_suffix,0.018292376593376708,0.0020324862873385783
corrupt,13,L13H9,task_body,0.07970296495570478,0.0010720363439783037
corrupt,13,L13H9,assistant_prefix,0.09040928825443627,0.01004547647978023
corrupt,13,L13H10,system_preamble,0.23192923823683748,0.006626549658905456
corrupt,13,L13H10,tools_block,0.0009742767063829246,1.80421611935214e-05
corrupt,13,L13H10,tool_instruction,0.004864630676030759,0.00022111957626866948
corrupt,13,L13H10,tool_call_example,0.002804391420688495,0.00012193006178652484
corrupt,13,L13H10,user_lead_phrase,0.0001126647453139254,5.926417396914594e-05
corrupt,13,L13H10,function_body_anchor,0.0009117097757829624,0.0002279274439457406
corrupt,13,L13H10,file_target,0.00023527652792642954,0.00011763826396321477
corrupt,13,L13H10,instruction_suffix,0.0030580699393938458,0.00033978554911106955
corrupt,13,L13H10,task_body,0.0026574124131299925,3.553753203283057e-05
corrupt,13,L13H10,assistant_prefix,0.7524523297880676,0.08360581447843246
corrupt,13,L13H11,system_preamble,0.2774881902329764,0.007928234000346842
corrupt,13,L13H11,tools_block,0.003078770314328805,5.701426502959426e-05
corrupt,13,L13H11,tool_instruction,0.005506473141269285,0.00025029423402613584
corrupt,13,L13H11,tool_call_example,0.023500426336574634,0.0010217576679767536
corrupt,13,L13H11,user_lead_phrase,0.000657070851887638,0.0004022064758241001
corrupt,13,L13H11,function_body_anchor,0.00040052659322915277,0.00010013164830728819
corrupt,13,L13H11,file_target,0.0004255832876015008,0.0002127916438007504
corrupt,13,L13H11,instruction_suffix,0.0009005038478055348,0.00010005598312387744
corrupt,13,L13H11,task_body,0.028828533518623838,0.00037675485660197124
corrupt,13,L13H11,assistant_prefix,0.6592139202068794,0.07324599103053281
corrupt,13,L13H12,system_preamble,0.7437228522920647,0.02124922433814745
corrupt,13,L13H12,tools_block,0.002687795577867403,4.9773992218645644e-05
corrupt,13,L13H12,tool_instruction,0.0035062206044084165,0.00015937366385729824
corrupt,13,L13H12,tool_call_example,0.0012518931981724422,5.443013901993608e-05
corrupt,13,L13H12,user_lead_phrase,0.0005246253399666011,0.000286391648464476
corrupt,13,L13H12,function_body_anchor,0.002411734648037931,0.0006029336620094828
corrupt,13,L13H12,file_target,0.00040230593908979756,0.00020115296954489878
corrupt,13,L13H12,instruction_suffix,0.004354107751262025,0.0004837897508197638
corrupt,13,L13H12,task_body,0.071295702021237,0.0009713487548326033
corrupt,13,L13H12,assistant_prefix,0.1698427598493955,0.01887141775266737
corrupt,13,L13H13,system_preamble,0.3051580912566828,0.008718802600882746
corrupt,13,L13H13,tools_block,0.0007706065633648722,1.4270491917731107e-05
corrupt,13,L13H13,tool_instruction,0.0006952218871637634,3.160099488024068e-05
corrupt,13,L13H13,tool_call_example,0.0011013265584232073,4.788376341027049e-05
corrupt,13,L13H13,user_lead_phrase,7.443756627774725e-05,4.259141661661476e-05
corrupt,13,L13H13,function_body_anchor,0.00033333814610958295,8.333453652739574e-05
corrupt,13,L13H13,file_target,7.830158750395889e-05,3.9150793751979444e-05
corrupt,13,L13H13,instruction_suffix,0.0004158383066495058,4.6204256358178934e-05
corrupt,13,L13H13,task_body,0.013612678740554331,0.00018122026230188014
corrupt,13,L13H13,assistant_prefix,0.6777601597841314,0.07530668447325684
corrupt,13,L13H14,system_preamble,0.191835303118457,0.005481008662616047
corrupt,13,L13H14,tools_block,0.028785922358197845,0.0005330726366207607
corrupt,13,L13H14,tool_instruction,0.10417110846360395,0.004735050383705466
corrupt,13,L13H14,tool_call_example,0.10763121357923244,0.00467961798010825
corrupt,13,L13H14,user_lead_phrase,0.006021466295553549,0.003703336707066565
corrupt,13,L13H14,function_body_anchor,0.009291291619534509,0.0023228229048836272
corrupt,13,L13H14,file_target,0.006448764163233151,0.0032243820816165755
corrupt,13,L13H14,instruction_suffix,0.008296329297547214,0.0009218143670313678
corrupt,13,L13H14,task_body,0.06362203071358402,0.0008273800704700573
corrupt,13,L13H14,assistant_prefix,0.47389657021738524,0.05265517447232128
corrupt,13,L13H15,system_preamble,0.3576234091722078,0.010217811697172587
