sample_id,component,variant,set,mass
codecontests_cpp_1,L24H6,clean_schema_mismatch,tool_call_tags,0.5325642824172974
codecontests_cpp_1,L24H6,clean_schema_mismatch,protocol_payload,nan
codecontests_cpp_1,L24H6,clean_schema_mismatch,prefix_16,0.30700618028640747
codecontests_cpp_1,L2H14,clean_no_protocol,user_block,0.4093751609325409
codecontests_cpp_1,L2H14,clean_no_protocol,tools_block,0.11826653778553009
codecontests_cpp_1,L2H14,clean_no_protocol,tools_payload,0.0007653254433535039
codecontests_cpp_1,L2H14,clean_no_protocol,tool_call_tags,0.00324897444806993
codecontests_cpp_1,L2H14,clean_no_protocol,protocol_payload,0.031221680343151093
codecontests_cpp_1,L2H14,clean_no_protocol,prefix_16,0.11937505006790161
codecontests_cpp_1,L21H12,clean_no_protocol,user_block,0.09692107886075974
codecontests_cpp_1,L21H12,clean_no_protocol,tools_block,0.2704166769981384
codecontests_cpp_1,L21H12,clean_no_protocol,tools_payload,0.043994925916194916
codecontests_cpp_1,L21H12,clean_no_protocol,tool_call_tags,0.02761944755911827
codecontests_cpp_1,L21H12,clean_no_protocol,protocol_payload,0.13124720752239227
codecontests_cpp_1,L21H12,clean_no_protocol,prefix_16,0.14977651834487915
codecontests_cpp_1,L16H4,clean_no_protocol,user_block,0.40474918484687805
codecontests_cpp_1,L16H4,clean_no_protocol,tools_block,0.012715685181319714
codecontests_cpp_1,L16H4,clean_no_protocol,tools_payload,1.7985436784329067e-07
codecontests_cpp_1,L16H4,clean_no_protocol,tool_call_tags,1.6792360838735476e-05
codecontests_cpp_1,L16H4,clean_no_protocol,protocol_payload,0.0010754265822470188
codecontests_cpp_1,L16H4,clean_no_protocol,prefix_16,0.05940923094749451
codecontests_cpp_1,L23H6,clean_no_protocol,user_block,0.03780732676386833
codecontests_cpp_1,L23H6,clean_no_protocol,tools_block,0.00722615048289299
codecontests_cpp_1,L23H6,clean_no_protocol,tools_payload,1.375704141537426e-05
codecontests_cpp_1,L23H6,clean_no_protocol,tool_call_tags,0.0005368639249354601
codecontests_cpp_1,L23H6,clean_no_protocol,protocol_payload,0.0020580736454576254
codecontests_cpp_1,L23H6,clean_no_protocol,prefix_16,0.3700186312198639
codecontests_cpp_1,L24H6,clean_no_protocol,user_block,0.18086889386177063
codecontests_cpp_1,L24H6,clean_no_protocol,tools_block,0.055369991809129715
codecontests_cpp_1,L24H6,clean_no_protocol,tools_payload,0.0008801380172371864
codecontests_cpp_1,L24H6,clean_no_protocol,tool_call_tags,0.3058370053768158
codecontests_cpp_1,L24H6,clean_no_protocol,protocol_payload,0.009540625847876072
codecontests_cpp_1,L24H6,clean_no_protocol,prefix_16,0.3774617910385132
codecontests_java_1,L2H14,clean_full,user_block,0.3036497235298157
codecontests_java_1,L2H14,clean_full,tools_block,0.14234189689159393
codecontests_java_1,L2H14,clean_full,tools_payload,0.0011831994634121656
codecontests_java_1,L2H14,clean_full,tool_call_tags,0.004928968846797943
codecontests_java_1,L2H14,clean_full,protocol_payload,nan
codecontests_java_1,L2H14,clean_full,prefix_16,0.14083541929721832
codecontests_java_1,L21H12,clean_full,user_block,0.012876315042376518
codecontests_java_1,L21H12,clean_full,tools_block,0.20766089856624603
codecontests_java_1,L21H12,clean_full,tools_payload,0.014709504321217537
codecontests_java_1,L21H12,clean_full,tool_call_tags,0.014645511284470558
codecontests_java_1,L21H12,clean_full,protocol_payload,nan
codecontests_java_1,L21H12,clean_full,prefix_16,0.027821684256196022
codecontests_java_1,L16H4,clean_full,user_block,0.42306414246559143
codecontests_java_1,L16H4,clean_full,tools_block,0.035714246332645416
codecontests_java_1,L16H4,clean_full,tools_payload,9.923915058607236e-07
codecontests_java_1,L16H4,clean_full,tool_call_tags,0.00010140457015950233
codecontests_java_1,L16H4,clean_full,protocol_payload,nan
codecontests_java_1,L16H4,clean_full,prefix_16,0.11030955612659454
codecontests_java_1,L23H6,clean_full,user_block,0.034207072108983994
codecontests_java_1,L23H6,clean_full,tools_block,0.01088136900216341
