sample_id,head,family,span,rescue_ratio,decision_score,top1_success
apps_python_4,L21H12,tool,file_target,-0.11278195488721804,-4.6224517822265625,False
apps_python_4,L21H12,tool,tail_suffix,-0.022556390977443608,-4.249027252197266,False
apps_python_4,L21H12,tool,task_body,-0.08270676691729323,-4.4974212646484375,False
apps_python_4,L24H6,tool,lead_phrase,-0.03007518796992481,-4.2804718017578125,False
apps_python_4,L24H6,tool,function_body_anchor,-0.022556390977443608,-4.249481201171875,False
apps_python_4,L24H6,tool,file_target,-0.022556390977443608,-4.24871826171875,False
apps_python_4,L24H6,tool,tail_suffix,0.0,-4.155059814453125,False
apps_python_4,L24H6,tool,task_body,0.0,-4.156367301940918,False
apps_python_4,L16H4,no_tool,lead_phrase,0.02564102564102564,-4.749958753585815,False
apps_python_4,L16H4,no_tool,function_body_anchor,0.05128205128205128,-4.624729156494141,False
apps_python_4,L16H4,no_tool,file_target,0.02564102564102564,-4.749973893165588,False
apps_python_4,L16H4,no_tool,tail_suffix,0.00641025641025641,-4.843749920837581,False
apps_python_4,L16H4,no_tool,task_body,0.08974358974358974,-4.436759948730469,False
apps_python_4,L23H6,no_tool,lead_phrase,0.0,-4.874996453523636,False
apps_python_4,L23H6,no_tool,function_body_anchor,0.019230769230769232,-4.781235575675964,False
apps_python_4,L23H6,no_tool,file_target,0.019230769230769232,-4.781188011169434,False
apps_python_4,L23H6,no_tool,tail_suffix,0.02564102564102564,-4.749967336654663,False
apps_python_4,L23H6,no_tool,task_body,-0.02564102564102564,-4.999928951263428,False
codecontests_cpp_4,L20H5,tool,lead_phrase,0.029197080291970802,-4.156439781188965,False
codecontests_cpp_4,L20H5,tool,function_body_anchor,0.029197080291970802,-4.156375885009766,False
codecontests_cpp_4,L20H5,tool,file_target,-0.08759124087591241,-4.653045654296875,False
codecontests_cpp_4,L20H5,tool,tail_suffix,0.021897810218978103,-4.184722900390625,False
codecontests_cpp_4,L20H5,tool,task_body,0.0,-4.2812803983688354,False
codecontests_cpp_4,L21H1,tool,lead_phrase,0.021897810218978103,-4.1844635009765625,False
codecontests_cpp_4,L21H1,tool,function_body_anchor,-0.021897810218978103,-4.374927520751953,False
codecontests_cpp_4,L21H1,tool,file_target,0.051094890510948905,-4.0595245361328125,False
codecontests_cpp_4,L21H1,tool,tail_suffix,0.029197080291970802,-4.156421661376953,False
codecontests_cpp_4,L21H1,tool,task_body,-0.021897810218978103,-4.374738693237305,False
codecontests_cpp_4,L21H12,tool,lead_phrase,-0.0364963503649635,-4.434783935546875,False
codecontests_cpp_4,L21H12,tool,function_body_anchor,-0.014598540145985401,-4.3429718017578125,False
codecontests_cpp_4,L21H12,tool,file_target,-0.0364963503649635,-4.4346466064453125,False
codecontests_cpp_4,L21H12,tool,tail_suffix,0.051094890510948905,-4.0594635009765625,False
codecontests_cpp_4,L21H12,tool,task_body,-0.043795620437956206,-4.468271255493164,False
codecontests_cpp_4,L24H6,tool,lead_phrase,-0.021897810218978103,-4.374599456787109,False
codecontests_cpp_4,L24H6,tool,function_body_anchor,0.0,-4.278472900390625,False
codecontests_cpp_4,L24H6,tool,file_target,-0.021897810218978103,-4.374673843383789,False
codecontests_cpp_4,L24H6,tool,tail_suffix,0.0072992700729927005,-4.2480621337890625,False
codecontests_cpp_4,L24H6,tool,task_body,-0.021897810218978103,-4.373054504394531,False
codecontests_cpp_4,L16H4,no_tool,lead_phrase,0.06880733944954129,-1.5838165283203125,False
codecontests_cpp_4,L16H4,no_tool,function_body_anchor,0.009174311926605505,-1.6864395141601562,False
codecontests_cpp_4,L16H4,no_tool,file_target,0.05504587155963303,-1.6078338623046875,False
codecontests_cpp_4,L16H4,no_tool,tail_suffix,0.009174311926605505,-1.6868324279785156,False
codecontests_cpp_4,L16H4,no_tool,task_body,0.06422018348623854,-1.591522216796875,False
codecontests_cpp_4,L23H6,no_tool,lead_phrase,0.05963302752293578,-1.6003036499023438,False
codecontests_cpp_4,L23H6,no_tool,function_body_anchor,0.0,-1.7022285461425781,False
codecontests_cpp_4,L23H6,no_tool,file_target,0.05963302752293578,-1.6003341674804688,False
codecontests_cpp_4,L23H6,no_tool,tail_suffix,0.0,-1.7026844024658203,False
codecontests_cpp_4,L23H6,no_tool,task_body,0.0,-1.7023124694824219,False
codecontests_java_4,L20H5,tool,lead_phrase,0.011049723756906077,-11.188125610351562,False
codecontests_java_4,L20H5,tool,function_body_anchor,0.055248618784530384,-10.68674087524414,False
codecontests_java_4,L20H5,tool,file_target,0.049723756906077346,-10.75004243850708,False
codecontests_java_4,L20H5,tool,tail_suffix,0.04419889502762431,-10.813167572021484,False
codecontests_java_4,L20H5,tool,task_body,0.04419889502762431,-10.813117980957031,False
codecontests_java_4,L21H1,tool,lead_phrase,0.04419889502762431,-10.813011169433594,False
codecontests_java_4,L21H1,tool,function_body_anchor,0.055248618784530384,-10.686962127685547,False
codecontests_java_4,L21H1,tool,file_target,0.049723756906077346,-10.750028491020203,False
codecontests_java_4,L21H1,tool,tail_suffix,0.04419889502762431,-10.812068939208984,False
codecontests_java_4,L21H1,tool,task_body,0.03867403314917127,-10.874347686767578,False
codecontests_java_4,L21H12,tool,lead_phrase,0.03314917127071823,-10.935905456542969,False
codecontests_java_4,L21H12,tool,function_body_anchor,0.022099447513812154,-11.062219619750977,False
codecontests_java_4,L21H12,tool,file_target,0.027624309392265192,-10.99905014038086,False
codecontests_java_4,L21H12,tool,tail_suffix,0.055248618784530384,-10.684982299804688,False
codecontests_java_4,L21H12,tool,task_body,0.055248618784530384,-10.687164306640625,False
codecontests_java_4,L24H6,tool,lead_phrase,0.0,-11.311798095703125,False
codecontests_java_4,L24H6,tool,function_body_anchor,0.0055248618784530384,-11.250009059906006,False
codecontests_java_4,L24H6,tool,file_target,0.0055248618784530384,-11.249589920043945,False
codecontests_java_4,L24H6,tool,tail_suffix,0.0055248618784530384,-11.250446319580078,False
codecontests_java_4,L24H6,tool,task_body,0.0,-11.311988830566406,False
codecontests_java_4,L16H4,no_tool,lead_phrase,0.022099447513812154,-5.531221032142639,False
codecontests_java_4,L16H4,no_tool,function_body_anchor,-0.027624309392265192,-5.812452793121338,False
codecontests_java_4,L16H4,no_tool,file_target,0.0055248618784530384,-5.624968528747559,False
codecontests_java_4,L16H4,no_tool,tail_suffix,-0.027624309392265192,-5.812462329864502,False
codecontests_java_4,L16H4,no_tool,task_body,0.022099447513812154,-5.531212568283081,False
codecontests_java_4,L23H6,no_tool,lead_phrase,0.022099447513812154,-5.531218767166138,False
codecontests_java_4,L23H6,no_tool,function_body_anchor,0.0055248618784530384,-5.624975919723511,False
codecontests_java_4,L23H6,no_tool,file_target,0.022099447513812154,-5.531209945678711,False
codecontests_java_4,L23H6,no_tool,tail_suffix,0.022099447513812154,-5.531223773956299,False
codecontests_java_4,L23H6,no_tool,task_body,0.0,-5.65624326467514,False
mbpp_python_4,L20H5,tool,lead_phrase,0.06451612903225806,-4.530372619628906,False
mbpp_python_4,L20H5,tool,function_body_anchor,-0.01935483870967742,-4.936611175537109,False
mbpp_python_4,L20H5,tool,file_target,0.06451612903225806,-4.529716491699219,False
mbpp_python_4,L20H5,tool,tail_suffix,0.0,-4.843482971191406,False
mbpp_python_4,L20H5,tool,task_body,-0.025806451612903226,-4.968090057373047,False
mbpp_python_4,L21H1,tool,lead_phrase,0.03870967741935484,-4.655036926269531,False
mbpp_python_4,L21H1,tool,function_body_anchor,-0.025806451612903226,-4.968605041503906,False
mbpp_python_4,L21H1,tool,file_target,0.0,-4.843496322631836,False
mbpp_python_4,L21H1,tool,tail_suffix,0.01935483870967742,-4.748870849609375,False
mbpp_python_4,L21H1,tool,task_body,-0.025806451612903226,-4.968693733215332,False
mbpp_python_4,L21H12,tool,lead_phrase,0.01935483870967742,-4.749817848205566,False
mbpp_python_4,L21H12,tool,function_body_anchor,0.01935483870967742,-4.749267578125,False
mbpp_python_4,L21H12,tool,file_target,0.0,-4.843477249145508,False
mbpp_python_4,L21H12,tool,tail_suffix,0.025806451612903226,-4.718067169189453,False
mbpp_python_4,L21H12,tool,task_body,-0.01935483870967742,-4.936939239501953,False
mbpp_python_4,L24H6,tool,lead_phrase,-0.025806451612903226,-4.968439102172852,False
mbpp_python_4,L24H6,tool,function_body_anchor,0.0,-4.8428802490234375,False
mbpp_python_4,L24H6,tool,file_target,-0.01935483870967742,-4.937252044677734,False
mbpp_python_4,L24H6,tool,tail_suffix,0.0,-4.843699932098389,False
