sample_id,path_key,base_variant,source_variant,direction,ratio,top1,boundary_flip
codecontests_java_14,schema_tool_path,clean_no_schema,clean_full,tool,1.0993990384615384,True,True
codecontests_java_14,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.2092510516826923,True,True
codecontests_java_14,schema_tool_path,clean_no_protocol,clean_full,tool,2.0502403846153845,True,True
codecontests_java_14,no_tool_path,clean_full,corrupt_full,no_tool,0.7914012738853503,False,False
codecontests_cpp_15,query_tool_path,corrupt_full,clean_full,tool,0.6088082901554405,False,False
codecontests_cpp_15,schema_tool_path,clean_no_schema,clean_full,tool,0.5531088082901554,False,True
codecontests_cpp_15,schema_tool_path,clean_schema_mismatch,clean_full,tool,2.079339378238342,False,True
codecontests_cpp_15,schema_tool_path,clean_no_protocol,clean_full,tool,3.3238341968911915,False,False
codecontests_cpp_15,no_tool_path,clean_full,corrupt_full,no_tool,0.8012048192771084,True,True
codecontests_java_15,query_tool_path,corrupt_full,clean_full,tool,0.8722627737226277,False,False
codecontests_java_15,schema_tool_path,clean_no_schema,clean_full,tool,1.22211450729927,True,True
codecontests_java_15,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.0863366788321167,True,True
codecontests_java_15,schema_tool_path,clean_no_protocol,clean_full,tool,1.1205234945255473,True,True
codecontests_java_15,no_tool_path,clean_full,corrupt_full,no_tool,0.6512820512820513,False,False
apps_python_16,query_tool_path,corrupt_full,clean_full,tool,0.7153284671532847,False,False
apps_python_16,schema_tool_path,clean_no_schema,clean_full,tool,-0.032162408759124086,False,True
apps_python_16,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.9720574817518248,True,True
apps_python_16,schema_tool_path,clean_no_protocol,clean_full,tool,1.9607664233576643,False,True
apps_python_16,no_tool_path,clean_full,corrupt_full,no_tool,0.8537735849056604,True,True
codecontests_cpp_16,query_tool_path,corrupt_full,clean_full,tool,0.9022435897435898,True,True
codecontests_cpp_16,schema_tool_path,clean_no_schema,clean_full,tool,0.28178418803418803,True,True
codecontests_cpp_16,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.1697382478632479,True,True
codecontests_cpp_16,schema_tool_path,clean_no_protocol,clean_full,tool,1.9017094017094016,False,False
codecontests_cpp_16,no_tool_path,clean_full,corrupt_full,no_tool,0.8990112994350282,True,True
codecontests_java_16,query_tool_path,corrupt_full,clean_full,tool,0.8505639097744361,False,False
codecontests_java_16,schema_tool_path,clean_no_schema,clean_full,tool,0.6219454887218046,True,True
codecontests_java_16,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.8587875939849625,True,True
codecontests_java_16,schema_tool_path,clean_no_protocol,clean_full,tool,3.3778195488721803,False,False
codecontests_java_16,no_tool_path,clean_full,corrupt_full,no_tool,0.9168660287081339,True,True
apps_python_17,query_tool_path,corrupt_full,clean_full,tool,0.5973684210526315,False,False
apps_python_17,schema_tool_path,clean_no_schema,clean_full,tool,0.2471217105263158,True,True
apps_python_17,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.869860197368421,True,True
apps_python_17,schema_tool_path,clean_no_protocol,clean_full,tool,2.8394736842105264,False,False
apps_python_17,no_tool_path,clean_full,corrupt_full,no_tool,0.8423566878980892,True,True
codecontests_cpp_17,query_tool_path,corrupt_full,clean_full,tool,0.7163865546218487,False,False
codecontests_cpp_17,schema_tool_path,clean_no_schema,clean_full,tool,0.4085477941176471,True,True
codecontests_cpp_17,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.8413865546218486,True,True
codecontests_cpp_17,schema_tool_path,clean_no_protocol,clean_full,tool,2.067752100840336,True,True
codecontests_cpp_17,no_tool_path,clean_full,corrupt_full,no_tool,0.8142857142857143,True,True
codecontests_java_17,query_tool_path,corrupt_full,clean_full,tool,0.8376777251184834,False,False
codecontests_java_17,schema_tool_path,clean_no_schema,clean_full,tool,0.7601821682464455,True,True
codecontests_java_17,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.7221193720379147,True,True
codecontests_java_17,schema_tool_path,clean_no_protocol,clean_full,tool,0.8972156398104265,True,True
codecontests_java_17,no_tool_path,clean_full,corrupt_full,no_tool,0.9344135802469136,True,True
mbpp_python_17,query_tool_path,corrupt_full,clean_full,tool,0.887668918918919,True,True
mbpp_python_17,schema_tool_path,clean_no_schema,clean_full,tool,0.2652027027027027,False,False
mbpp_python_17,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.7780827702702703,True,True
