sample_id,sample_rank,q_index,filename,direction,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
codecontests_cpp_33,77,,codecontests_cpp_33.txt,reverse_no_tool,skipped_resume,4.375,-1.75,6.125,1.0,1.0204081632653061,0.8367346938775511,0.8979591836734694,L21H1,I,<tool_call>,full,
codecontests_java_33,78,,codecontests_java_33.txt,reverse_no_tool,skipped_resume,10.25,-3.625,13.875,0.9099099099099099,0.9459459459459459,0.8288288288288288,0.8648648648648649,L24H6,I,<tool_call>,full,
humaneval_python_33,79,,humaneval_python_33.txt,reverse_no_tool,skipped_resume,8.5,-5.875,14.375,0.9826086956521739,1.1043478260869566,0.8,1.0,L20H14,I,<tool_call>,full,
apps_python_34,80,,apps_python_34.txt,reverse_no_tool,skipped_resume,4.5,-2.625,7.125,1.0701754385964912,1.0350877192982457,0.8947368421052632,0.9122807017543859,L24H6,I,<tool_call>,full,
apps_python_35,81,,apps_python_35.txt,reverse_no_tool,skipped_resume,3.25,-1.5,4.75,1.0526315789473684,1.0263157894736843,0.8421052631578947,0.9210526315789473,L16H8,I,<tool_call>,full,
codecontests_cpp_35,82,,codecontests_cpp_35.txt,reverse_no_tool,skipped_resume,1.625,-3.875,5.5,1.0909090909090908,1.0454545454545454,0.9545454545454546,0.9772727272727273,L21H12,I,<tool_call>,full,
codecontests_java_35,83,,codecontests_java_35.txt,reverse_no_tool,skipped_resume,7.5,-4.0,11.5,0.9021739130434783,0.9347826086956522,0.9456521739130435,0.967391304347826,L24H6,I,<tool_call>,full,
mbpp_python_35,84,,mbpp_python_35.txt,reverse_no_tool,skipped_resume,6.5,-2.625,9.125,1.2328767123287672,1.178082191780822,1.1917808219178083,1.1506849315068493,L24H6,I,<tool_call>,full,
apps_python_36,85,,apps_python_36.txt,reverse_no_tool,skipped_resume,2.75,-2.625,5.375,1.0465116279069768,1.069767441860465,0.7906976744186046,0.8372093023255814,L17H8,I,<tool_call>,full,
codecontests_java_36,86,,codecontests_java_36.txt,reverse_no_tool,skipped_resume,6.875,-3.25,10.125,0.9753086419753086,0.9753086419753086,0.9506172839506173,0.9382716049382716,L24H6,I,<tool_call>,full,
mbpp_python_36,87,,mbpp_python_36.txt,reverse_no_tool,skipped_resume,4.125,-2.25,6.375,0.9607843137254902,0.9411764705882353,0.803921568627451,0.803921568627451,L17H8,I,<tool_call>,full,
