sample_id,component,direction,source_variant,base_variant,rescue_ratio,tool_score_delta,no_tool_score_delta,top1_success,boundary_flip
codecontests_cpp_3,L21H12,tool,clean_full,clean_no_protocol,2.3852459016393444,9.09375,0.20947265625,False,False
codecontests_cpp_3,MLP27,tool,clean_full,corrupt_full,0.8247950819672131,3.14453125,-0.490234375,False,False
codecontests_cpp_3,MLP27,tool,clean_full,clean_no_schema,1.1639344262295082,4.4375,-0.15478515625,False,False
codecontests_cpp_3,MLP27,tool,clean_full,clean_schema_mismatch,1.6926229508196722,6.453125,-0.23046875,False,False
codecontests_cpp_3,MLP27,tool,clean_full,clean_no_protocol,3.0081967213114753,11.46875,0.1845703125,False,False
codecontests_cpp_3,L16H4,no_tool,corrupt_full,clean_full,-0.11855670103092783,-0.002593994140625,-0.359375,False,False
codecontests_cpp_3,L16H4,no_tool,corrupt_full,clean_no_schema,-0.0006443298969072165,-0.125,-0.001953125,True,True
codecontests_cpp_3,L16H4,no_tool,corrupt_full,clean_schema_mismatch,0.012242268041237113,1.5625,0.037109375,True,True
codecontests_cpp_3,L16H4,no_tool,corrupt_full,clean_no_protocol,0.007087628865979381,1.9375,0.021484375,True,True
codecontests_cpp_3,MLP17,no_tool,corrupt_full,clean_full,0.6262886597938144,-0.2158203125,1.8984375,False,False
codecontests_cpp_3,MLP17,no_tool,corrupt_full,clean_no_schema,-0.009342783505154639,-3.28125,-0.0283203125,True,True
codecontests_cpp_3,MLP17,no_tool,corrupt_full,clean_schema_mismatch,-0.03125,-2.375,-0.0947265625,True,True
codecontests_cpp_3,MLP17,no_tool,corrupt_full,clean_no_protocol,-0.11469072164948453,-5.5,-0.34765625,True,True
codecontests_cpp_3,L23H6,no_tool,corrupt_full,clean_full,0.25257731958762886,-0.018310546875,0.765625,False,False
codecontests_cpp_3,L23H6,no_tool,corrupt_full,clean_no_schema,0.005718427835051546,0.5,0.017333984375,True,True
codecontests_cpp_3,L23H6,no_tool,corrupt_full,clean_schema_mismatch,0.013208762886597938,0.78125,0.0400390625,True,True
codecontests_cpp_3,L23H6,no_tool,corrupt_full,clean_no_protocol,0.028672680412371133,2.125,0.0869140625,True,True
codecontests_cpp_3,L24H6,tool,clean_full,corrupt_full,0.5573770491803278,2.125,-0.10546875,False,False
codecontests_cpp_3,L24H6,tool,clean_full,clean_no_schema,0.9713114754098361,3.703125,-0.05029296875,False,False
codecontests_cpp_3,L24H6,tool,clean_full,clean_schema_mismatch,1.1762295081967213,4.484375,0.0673828125,False,False
codecontests_cpp_3,L24H6,tool,clean_full,clean_no_protocol,2.7540983606557377,10.5,0.27587890625,False,False
codecontests_java_3,L2H14,tool,clean_full,corrupt_full,0.06756756756756757,0.625,-0.0023040771484375,False,False
codecontests_java_3,L2H14,tool,clean_full,clean_no_schema,0.013513513513513514,0.125,0.0302734375,False,False
codecontests_java_3,L2H14,tool,clean_full,clean_schema_mismatch,-0.0016891891891891893,-0.015625,0.021484375,False,False
codecontests_java_3,L2H14,tool,clean_full,clean_no_protocol,0.04054054054054054,0.375,0.029296875,False,False
codecontests_java_3,MLP11,tool,clean_full,corrupt_full,0.527027027027027,4.875,-0.03173828125,False,False
codecontests_java_3,MLP11,tool,clean_full,clean_no_schema,0.34459459459459457,3.1875,0.04296875,False,False
codecontests_java_3,MLP11,tool,clean_full,clean_schema_mismatch,0.12922297297297297,1.1953125,-0.51171875,True,True
codecontests_java_3,MLP11,tool,clean_full,clean_no_protocol,-0.30743243243243246,-2.84375,0.0546875,False,False
codecontests_java_3,MLP16,tool,clean_full,corrupt_full,0.6013513513513513,5.5625,-0.1005859375,False,False
codecontests_java_3,MLP16,tool,clean_full,clean_no_schema,0.7668918918918919,7.09375,0.0732421875,False,False
codecontests_java_3,MLP16,tool,clean_full,clean_schema_mismatch,-0.13766891891891891,-1.2734375,0.1953125,False,False
codecontests_java_3,MLP16,tool,clean_full,clean_no_protocol,-0.30067567567567566,-2.78125,-0.318359375,False,False
