sample_id,family,component,base_variant,rescue_ratio,decision_score,top1_success,boundary_flip
apps_python_10,suppress,L16H4,clean_full,0.19662921348314608,-2.22625732421875,False,False
apps_python_10,suppress,MLP17,clean_full,0.15168539325842698,-2.355255126953125,False,False
apps_python_10,suppress,L23H6,clean_full,0.2247191011235955,-2.146240234375,False,False
codecontests_cpp_11,query,L20H5,corrupt_full,0.47398843930635837,-1.3232421875,False,False
codecontests_cpp_11,query,L21H1,corrupt_full,0.6445086705202312,-0.7197265625,False,False
codecontests_cpp_11,query,L21H12,corrupt_full,0.7514450867052023,-0.259765625,False,False
codecontests_cpp_11,query,L24H6,corrupt_full,0.5722543352601156,-0.9912109375,False,False
codecontests_cpp_11,query,MLP27,corrupt_full,0.796242774566474,-0.03125,True,False
codecontests_cpp_11,suppress,L16H4,clean_full,0.07407407407407407,-3.1241531372070312,False,False
codecontests_cpp_11,suppress,MLP17,clean_full,0.25925925925925924,-2.48492431640625,False,False
codecontests_cpp_11,suppress,L23H6,clean_full,0.2222222222222222,-2.6142578125,False,False
codecontests_java_11,query,L20H5,corrupt_full,0.46634615384615385,-3.4556884765625,False,False
codecontests_java_11,query,L21H1,corrupt_full,0.34134615384615385,-4.2640380859375,False,False
codecontests_java_11,query,L21H12,corrupt_full,0.7596153846153846,-1.3876953125,False,False
codecontests_java_11,query,L24H6,corrupt_full,0.5985576923076923,-2.55859375,False,False
codecontests_java_11,query,MLP27,corrupt_full,0.6586538461538461,-2.14794921875,False,False
codecontests_java_11,suppress,L16H4,clean_full,0.14473684210526316,-2.01873779296875,False,False
codecontests_java_11,suppress,MLP17,clean_full,0.3223684210526316,-1.5302734375,False,False
codecontests_java_11,suppress,L23H6,clean_full,0.4276315789473684,-1.2666015625,False,False
humaneval_python_11,query,L20H5,corrupt_full,0.0967741935483871,-4.374953746795654,False,False
humaneval_python_11,query,L21H1,corrupt_full,0.5483870967741935,-2.13427734375,False,False
humaneval_python_11,query,L21H12,corrupt_full,0.4612903225806452,-2.57177734375,False,False
humaneval_python_11,query,L24H6,corrupt_full,0.5258064516129032,-2.2431640625,False,False
humaneval_python_11,query,MLP27,corrupt_full,0.5919354838709677,-1.609375,False,False
humaneval_python_11,suppress,L16H4,clean_full,0.029940119760479042,-2.5306625366210938,False,False
humaneval_python_11,suppress,MLP17,clean_full,0.6526946107784432,-0.544921875,True,False
humaneval_python_11,suppress,L23H6,clean_full,0.30538922155688625,-1.74755859375,False,False
mbpp_python_11,query,L20H5,corrupt_full,0.22727272727272727,-2.3826904296875,False,False
mbpp_python_11,query,L21H1,corrupt_full,0.5378787878787878,-1.361328125,False,False
mbpp_python_11,query,L21H12,corrupt_full,0.29292929292929293,-2.174560546875,False,False
mbpp_python_11,query,L24H6,corrupt_full,0.35858585858585856,-1.96337890625,False,False
mbpp_python_11,query,MLP27,corrupt_full,0.7272727272727273,-0.6396484375,False,False
mbpp_python_11,suppress,L16H4,clean_full,0.1712962962962963,-1.38690185546875,False,False
mbpp_python_11,suppress,MLP17,clean_full,0.7337962962962963,-0.06640625,True,False
mbpp_python_11,suppress,L23H6,clean_full,0.43287037037037035,-0.8740234375,False,False
codecontests_cpp_12,query,L20H5,corrupt_full,0.3380281690140845,-1.433349609375,False,False
codecontests_cpp_12,query,L21H1,corrupt_full,0.5387323943661971,-0.8984375,False,False
codecontests_cpp_12,query,L21H12,corrupt_full,0.8107394366197183,0.07421875,True,True
codecontests_cpp_12,query,L24H6,corrupt_full,0.6073943661971831,-0.6923828125,False,False
codecontests_cpp_12,query,MLP27,corrupt_full,0.8345070422535211,0.1875,True,True
codecontests_cpp_12,suppress,L16H4,clean_full,0.17307692307692307,-2.008575439453125,False,False
codecontests_cpp_12,suppress,MLP17,clean_full,0.25,-1.8121337890625,False,False
codecontests_cpp_12,suppress,L23H6,clean_full,0.17307692307692307,-2.0086669921875,False,False
codecontests_java_12,query,L20H5,corrupt_full,0.39864864864864863,-5.55255126953125,False,False
codecontests_java_12,query,L21H1,corrupt_full,0.6182432432432432,-3.45947265625,False,False
codecontests_java_12,query,L21H12,corrupt_full,0.9336993243243243,0.2578125,True,True
codecontests_java_12,query,L24H6,corrupt_full,0.6131756756756757,-3.51220703125,False,False
codecontests_java_12,query,MLP27,corrupt_full,0.9184966216216216,0.05078125,True,True
codecontests_java_12,suppress,L16H4,clean_full,0.2727272727272727,-4.4910888671875,False,False
codecontests_java_12,suppress,MLP17,clean_full,0.3611111111111111,-3.9344482421875,False,False
codecontests_java_12,suppress,L23H6,clean_full,0.17676767676767677,-5.0909423828125,False,False
apps_python_13,query,L20H5,corrupt_full,0.375,-2.30517578125,False,False
apps_python_13,query,L21H1,corrupt_full,0.6791666666666667,-0.966796875,False,False
apps_python_13,query,L21H12,corrupt_full,0.60625,-1.3173828125,False,False
apps_python_13,query,L24H6,corrupt_full,0.49375,-1.81298828125,False,False
apps_python_13,query,MLP27,corrupt_full,0.70625,-0.767578125,False,False
apps_python_13,suppress,L16H4,clean_full,0.13656387665198239,-3.058685302734375,False,False
apps_python_13,suppress,MLP17,clean_full,0.6409691629955947,-1.052734375,False,False
apps_python_13,suppress,L23H6,clean_full,0.19823788546255505,-2.8343505859375,False,False
codecontests_java_13,query,L20H5,corrupt_full,0.3360655737704918,-5.05303955078125,False,False
codecontests_java_13,query,L21H1,corrupt_full,0.5061475409836066,-3.72509765625,False,False
codecontests_java_13,query,L21H12,corrupt_full,0.8165983606557377,-1.08984375,False,False
codecontests_java_13,query,L24H6,corrupt_full,0.7448770491803278,-1.728515625,False,False
codecontests_java_13,query,MLP27,corrupt_full,0.9559426229508197,0.9375,True,True
codecontests_java_13,suppress,L16H4,clean_full,0.3051948051948052,-3.3167724609375,False,False
codecontests_java_13,suppress,MLP17,clean_full,0.22727272727272727,-3.70672607421875,False,False
codecontests_java_13,suppress,L23H6,clean_full,0.22727272727272727,-3.70819091796875,False,False
apps_python_14,query,L20H5,corrupt_full,0.4601449275362319,-2.2685546875,False,False
apps_python_14,query,L21H1,corrupt_full,0.6594202898550725,-1.2900390625,False,False
apps_python_14,query,L21H12,corrupt_full,0.6340579710144928,-1.4208984375,False,False
apps_python_14,query,L24H6,corrupt_full,0.4891304347826087,-2.1396484375,False,False
apps_python_14,query,MLP27,corrupt_full,0.7282608695652174,-0.8203125,False,False
apps_python_14,suppress,L16H4,clean_full,0.039473684210526314,-3.4217119216918945,False,False
apps_python_14,suppress,MLP17,clean_full,0.34210526315789475,-2.311767578125,False,False
apps_python_14,suppress,L23H6,clean_full,0.2982456140350877,-2.4764404296875,False,False
codecontests_cpp_14,query,L20H5,corrupt_full,0.1358695652173913,-4.967430114746094,False,False
codecontests_cpp_14,query,L21H1,corrupt_full,0.5190217391304348,-2.72412109375,False,False
codecontests_cpp_14,query,L21H12,corrupt_full,0.6711956521739131,-1.771484375,False,False
codecontests_cpp_14,query,L24H6,corrupt_full,0.592391304347826,-2.26513671875,False,False
codecontests_cpp_14,query,MLP27,corrupt_full,0.8233695652173914,-0.634765625,False,False
codecontests_cpp_14,suppress,L16H4,clean_full,0.2317596566523605,-2.78314208984375,False,False
codecontests_cpp_14,suppress,MLP17,clean_full,0.6051502145922747,-1.177734375,False,False
codecontests_cpp_14,suppress,L23H6,clean_full,0.27467811158798283,-2.616943359375,False,False
codecontests_java_14,query,L20H5,corrupt_full,0.23846153846153847,-6.181976318359375,False,False
codecontests_java_14,query,L21H1,corrupt_full,0.36923076923076925,-5.117340087890625,False,False
codecontests_java_14,query,L21H12,corrupt_full,0.8173076923076923,-1.224609375,False,False
codecontests_java_14,query,L24H6,corrupt_full,0.6153846153846154,-3.05322265625,False,False
codecontests_java_14,query,MLP27,corrupt_full,0.8807692307692307,-0.474609375,False,False
codecontests_java_14,suppress,L16H4,clean_full,0.10828025477707007,-4.3719482421875,False,False
codecontests_java_14,suppress,MLP17,clean_full,0.49044585987261147,-2.435546875,False,False
codecontests_java_14,suppress,L23H6,clean_full,0.2356687898089172,-3.7420654296875,False,False
codecontests_cpp_15,query,L20H5,corrupt_full,0.24352331606217617,-2.275421142578125,False,False
codecontests_cpp_15,query,L21H1,corrupt_full,0.47150259067357514,-1.5595703125,False,False
codecontests_cpp_15,query,L21H12,corrupt_full,0.5854922279792746,-1.18408203125,False,False
codecontests_cpp_15,query,L24H6,corrupt_full,0.5569948186528497,-1.281494140625,False,False
codecontests_cpp_15,query,MLP27,corrupt_full,0.7189119170984456,-0.6982421875,False,False
