sample_id,stage,tool_token_delta,distractor_delta
apps_python_59,resid_mid,0.0625,0.4765625
apps_python_59,resid_post,0.0,0.0234375
apps_python_60,resid_mid,-0.125,-0.171875
apps_python_60,resid_post,-0.1875,-0.0703125
codecontests_java_60,resid_mid,0.15625,0.072265625
codecontests_java_60,resid_post,0.0625,-0.15234375
humaneval_python_60,resid_mid,0.03125,0.703125
humaneval_python_60,resid_post,0.15625,0.328125
codecontests_java_61,resid_mid,-0.15625,0.21484375
codecontests_java_61,resid_post,-0.21875,0.376953125
mbpp_python_61,resid_mid,-0.21875,0.404296875
mbpp_python_61,resid_post,0.0625,-0.01953125
codecontests_cpp_62,resid_mid,0.0,-0.118896484375
codecontests_cpp_62,resid_post,-0.03125,-0.1484375
codecontests_java_62,resid_mid,0.0625,0.06103515625
codecontests_java_62,resid_post,0.0,-0.109375
codecontests_cpp_63,resid_mid,0.1875,-0.23046875
codecontests_cpp_63,resid_post,0.21875,-0.1171875
codecontests_java_63,resid_mid,0.0625,-0.05718994140625
codecontests_java_63,resid_post,-0.0625,-0.12109375
apps_python_64,resid_mid,0.0625,0.2705841064453125
apps_python_64,resid_post,0.0,0.28125
codecontests_cpp_64,resid_mid,0.0625,0.5166015625
codecontests_cpp_64,resid_post,0.03125,0.15234375
codecontests_java_64,resid_mid,0.21875,-0.0048828125
codecontests_java_64,resid_post,0.03125,-0.0078125
humaneval_python_64,resid_mid,-0.09375,0.327392578125
humaneval_python_64,resid_post,-0.03125,0.044921875
codecontests_cpp_65,resid_mid,0.0,0.4287109375
codecontests_cpp_65,resid_post,0.0,0.140625
codecontests_java_65,resid_mid,-0.0625,0.08740234375
codecontests_java_65,resid_post,-0.1875,0.380859375
codecontests_cpp_66,resid_mid,0.03125,0.15234375
codecontests_cpp_66,resid_post,0.0,0.119140625
codecontests_java_66,resid_mid,0.15625,-0.0302734375
codecontests_java_66,resid_post,0.0,0.06640625
codecontests_java_67,resid_mid,0.03125,0.0693359375
codecontests_java_67,resid_post,0.03125,0.1171875
codecontests_cpp_68,resid_mid,0.09375,0.21337890625
codecontests_cpp_68,resid_post,0.0,-0.015625
apps_python_69,resid_mid,-0.03125,0.25244140625
apps_python_69,resid_post,-0.03125,-0.03125
codecontests_cpp_69,resid_mid,-0.0625,-0.076171875
codecontests_cpp_69,resid_post,-0.03125,0.03125
codecontests_java_69,resid_mid,0.0,0.064453125
codecontests_java_69,resid_post,-0.03125,-0.005859375
codecontests_cpp_70,resid_mid,0.0625,0.27783203125
codecontests_cpp_70,resid_post,0.0625,0.1953125
codecontests_java_70,resid_mid,0.03125,0.150390625
codecontests_java_70,resid_post,-0.0625,0.0625
codecontests_cpp_72,resid_mid,0.0,-0.1268310546875
codecontests_cpp_72,resid_post,0.0,0.09375
codecontests_java_72,resid_mid,0.0625,0.228515625
codecontests_java_72,resid_post,0.0,0.0390625
codecontests_cpp_73,resid_mid,0.0,0.23681640625
codecontests_cpp_73,resid_post,-0.03125,0.037109375
codecontests_java_73,resid_mid,0.03125,0.068359375
codecontests_java_73,resid_post,-0.03125,0.18994140625
apps_python_74,resid_mid,0.125,0.16015625
apps_python_74,resid_post,0.09375,0.1171875
codecontests_cpp_74,resid_mid,0.09375,0.0068359375
codecontests_cpp_74,resid_post,0.15625,0.015625
codecontests_java_74,resid_mid,-0.03125,0.07470703125
codecontests_java_74,resid_post,-0.15625,-0.01171875
humaneval_python_74,resid_mid,0.0,-0.126953125
humaneval_python_74,resid_post,-0.15625,0.078125
apps_python_75,resid_mid,0.09375,0.38818359375
apps_python_75,resid_post,0.15625,0.03125
codecontests_cpp_75,resid_mid,0.03125,0.0859375
