sample_id,variant,span,attn_mass,attn_density
apps_python_13,base,lead_phrase,0.04762762039899826,0.009525524452328682
apps_python_13,base,function_body_anchor,0.005664316937327385,0.0028321584686636925
apps_python_13,base,file_target,0.015416020527482033,0.007708010263741016
apps_python_13,base,tail_suffix,0.06068612262606621,0.005516920238733292
apps_python_13,base,task_body,0.08538027107715607,0.0013552424497902393
codecontests_java_13,clean,lead_phrase,0.09338889271020889,0.046694446355104446
codecontests_java_13,clean,function_body_anchor,0.01891440339386463,0.009457201696932316
codecontests_java_13,clean,file_target,0.00928892008960247,0.004644460044801235
codecontests_java_13,clean,tail_suffix,0.08736785501241684,0.007942532189190388
codecontests_java_13,clean,task_body,0.12027142941951752,0.0012932411627843976
codecontests_java_13,base,lead_phrase,0.15635445713996887,0.07817722856998444
codecontests_java_13,base,function_body_anchor,0.00975948665291071,0.004879743326455355
codecontests_java_13,base,file_target,0.006513192318379879,0.0032565961591899395
codecontests_java_13,base,tail_suffix,0.07893305271863937,0.007175731938332319
codecontests_java_13,base,task_body,0.11176684498786926,0.0012017940171062946
apps_python_14,clean,lead_phrase,0.1296631544828415,0.04322105273604393
apps_python_14,clean,function_body_anchor,0.025549696758389473,0.012774848379194736
apps_python_14,clean,file_target,0.018218208104372025,0.009109104052186012
apps_python_14,clean,tail_suffix,0.13015945255756378,0.011832677759230137
apps_python_14,clean,task_body,0.09999219328165054,0.0009008305496536195
apps_python_14,base,lead_phrase,0.06773021072149277,0.02257673628628254
apps_python_14,base,function_body_anchor,0.014812338165938854,0.007406169082969427
apps_python_14,base,file_target,0.019663095474243164,0.009831547737121582
apps_python_14,base,tail_suffix,0.12795138359069824,0.011631944216787815
apps_python_14,base,task_body,0.10720594972372055,0.000965819344855845
codecontests_cpp_14,clean,lead_phrase,0.06540966033935547,0.016352415084838867
codecontests_cpp_14,clean,function_body_anchor,0.006166517734527588,0.003083258867263794
codecontests_cpp_14,clean,file_target,0.023793045431375504,0.011896522715687752
codecontests_cpp_14,clean,tail_suffix,0.056439097970724106,0.005130826961249113
codecontests_cpp_14,clean,task_body,0.14184466004371643,0.0022878171876072884
codecontests_cpp_14,base,lead_phrase,0.09407873451709747,0.02351968362927437
codecontests_cpp_14,base,function_body_anchor,0.006634756922721863,0.0033173784613609314
codecontests_cpp_14,base,file_target,0.02377154491841793,0.011885772459208965
codecontests_cpp_14,base,tail_suffix,0.05759930983185768,0.005236301105469465
codecontests_cpp_14,base,task_body,0.13994500041007996,0.00225717737339437
codecontests_java_14,clean,lead_phrase,0.04963286593556404,0.02481643296778202
codecontests_java_14,clean,function_body_anchor,0.02375682070851326,0.01187841035425663
