sample_id,step_idx,nodes,rescue_ratio,decision_score,no_tool_top1,boundary_flip
codecontests_cpp_28,2,L16H4|MLP17,0.46255506607929514,-1.8486328125,False,False
codecontests_cpp_28,3,L16H4|MLP17|L23H6,0.6784140969162996,-0.939453125,False,False
codecontests_java_28,1,L16H4,0.07272727272727272,-3.186187744140625,False,False
codecontests_java_28,2,L16H4|MLP17,0.4090909090909091,-1.97216796875,False,False
codecontests_java_28,3,L16H4|MLP17|L23H6,0.6568181818181819,-0.912109375,False,False
apps_python_29,1,L16H4,0.1342281879194631,-2.007843017578125,False,False
apps_python_29,2,L16H4|MLP17,0.6090604026845637,-0.662109375,False,False
apps_python_29,3,L16H4|MLP17|L23H6,0.7684563758389261,0.01953125,True,True
codecontests_cpp_29,1,L16H4,0.3284313725490196,-2.106201171875,False,False
codecontests_cpp_29,2,L16H4|MLP17,0.8308823529411765,0.13671875,True,True
codecontests_cpp_29,3,L16H4|MLP17|L23H6,0.9160539215686274,0.958984375,True,True
codecontests_java_29,1,L16H4,0.3342696629213483,-1.793212890625,False,False
codecontests_java_29,2,L16H4|MLP17,0.5224719101123596,-1.1943359375,False,False
codecontests_java_29,3,L16H4|MLP17|L23H6,0.8019662921348315,0.03515625,True,True
apps_python_30,1,L16H4,0.30434782608695654,-2.2177734375,False,False
apps_python_30,2,L16H4|MLP17,0.6376811594202898,-0.908203125,False,False
apps_python_30,3,L16H4|MLP17|L23H6,0.7463768115942029,-0.359375,False,False
codecontests_cpp_30,1,L16H4,0.16346153846153846,-2.71527099609375,False,False
codecontests_cpp_30,2,L16H4|MLP17,0.5769230769230769,-1.2646484375,False,False
codecontests_cpp_30,3,L16H4|MLP17|L23H6,0.71875,-0.6640625,False,False
codecontests_java_30,1,L16H4,0.32083333333333336,-2.513916015625,False,False
codecontests_java_30,2,L16H4|MLP17,0.5,-1.779296875,False,False
codecontests_java_30,3,L16H4|MLP17|L23H6,0.7208333333333333,-0.71484375,False,False
codecontests_cpp_32,1,L16H4,0.37850467289719625,-2.022216796875,False,False
codecontests_cpp_32,2,L16H4|MLP17,0.8837616822429907,0.837890625,True,True
codecontests_cpp_32,3,L16H4|MLP17|L23H6,0.9372079439252337,1.9150390625,True,True
codecontests_java_32,1,L16H4,0.26666666666666666,-4.461151123046875,False,False
codecontests_java_32,2,L16H4|MLP17,0.5717948717948718,-2.52392578125,False,False
codecontests_java_32,3,L16H4|MLP17|L23H6,0.8064102564102564,-0.6953125,False,False
mbpp_python_32,1,L16H4,0.046242774566473986,-2.577737808227539,False,False
mbpp_python_32,2,L16H4|MLP17,0.4508670520231214,-1.38916015625,False,False
mbpp_python_32,3,L16H4|MLP17|L23H6,0.6734104046242775,-0.568359375,False,False
codecontests_cpp_33,1,L16H4,0.3875,-0.7021484375,False,False
codecontests_cpp_33,2,L16H4|MLP17,0.08125,-1.1463165283203125,False,False
codecontests_cpp_33,3,L16H4|MLP17|L23H6,0.5375,-0.4404296875,False,False
codecontests_java_33,1,L16H4,0.3640552995391705,-2.0986328125,False,False
codecontests_java_33,2,L16H4|MLP17,0.8387096774193549,0.30078125,True,True
codecontests_java_33,3,L16H4|MLP17|L23H6,0.9380760368663594,1.6025390625,True,True
humaneval_python_33,1,L16H4,0.0815450643776824,-6.68708610534668,False,False
humaneval_python_33,2,L16H4|MLP17,0.31759656652360513,-4.9510498046875,False,False
humaneval_python_33,3,L16H4|MLP17|L23H6,0.4892703862660944,-3.640625,False,False
