sample_id,sample_rank,q_index,gap,orig_suff_ratio,orig_nec_ratio,refined_suff_ratio,refined_nec_ratio,k_local,n_refined_nodes,n_orig_nodes
codecontests_java_89,219,,13.25,1.028301886792453,1.028301886792453,1.0188679245283019,1.0,0,10,16
codecontests_java_90,220,,12.125,0.9484536082474226,0.9175257731958762,0.9072164948453608,0.8350515463917526,0,10,16
apps_python_91,221,,6.125,1.0,1.0408163265306123,1.0,1.0612244897959184,1,11,16
codecontests_cpp_91,222,,4.625,0.918918918918919,0.918918918918919,0.972972972972973,0.972972972972973,0,10,15
codecontests_java_91,223,,14.0,0.9910714285714286,1.0089285714285714,1.0223214285714286,1.0178571428571428,0,10,16
apps_python_92,224,,4.125,1.0909090909090908,1.0606060606060606,1.0606060606060606,1.0606060606060606,1,11,16
codecontests_java_92,225,,6.0,1.0,1.0208333333333333,1.0,1.0,2,12,14
apps_python_93,226,,5.25,1.0714285714285714,1.0952380952380953,0.9761904761904762,1.0476190476190477,1,11,15
codecontests_cpp_93,227,,6.0,0.9791666666666666,0.9375,0.9791666666666666,0.9583333333333334,0,10,16
codecontests_java_93,228,,14.25,0.9385964912280702,0.9298245614035088,0.9824561403508771,0.956140350877193,1,11,16
apps_python_94,229,,9.875,0.9873417721518988,1.0253164556962024,0.9746835443037974,0.9113924050632911,0,10,16
codecontests_cpp_94,230,,4.625,1.054054054054054,1.0810810810810811,1.027027027027027,1.054054054054054,0,10,16
codecontests_java_94,231,,17.4375,1.0,0.96415770609319,0.956989247311828,0.910394265232975,0,10,16
apps_python_95,232,,5.125,1.0975609756097562,1.0975609756097562,0.9512195121951219,1.0,1,11,16
codecontests_cpp_95,233,,7.125,0.9298245614035088,0.9298245614035088,0.8771929824561403,0.9122807017543859,0,10,16
codecontests_java_95,234,,9.25,1.0135135135135136,0.972972972972973,1.0,0.9459459459459459,0,10,16
humaneval_python_95,235,,9.125,0.958904109589041,0.9863013698630136,0.9178082191780822,0.9863013698630136,0,10,16
apps_python_96,236,,4.875,1.1025641025641026,1.1282051282051282,1.0769230769230769,1.1282051282051282,2,12,16
codecontests_java_96,237,,6.125,1.0,1.0,0.9795918367346939,0.9387755102040817,1,11,15
mbpp_python_96,238,,5.875,0.9574468085106383,0.9574468085106383,0.9148936170212766,0.9361702127659575,0,10,16
apps_python_97,239,,7.125,1.0350877192982457,1.0701754385964912,0.9122807017543859,0.9824561403508771,0,10,16
humaneval_python_97,240,,7.875,0.9682539682539683,1.0317460317460319,0.9206349206349206,0.9841269841269841,2,12,16
apps_python_98,241,,8.75,1.0,0.9714285714285714,0.9857142857142858,0.9857142857142858,0,10,16
codecontests_cpp_98,242,,8.625,1.0144927536231885,1.0,1.0144927536231885,1.0144927536231885,1,11,16
codecontests_java_98,243,,10.125,0.9753086419753086,0.8888888888888888,0.9753086419753086,0.8765432098765432,1,11,16
apps_python_99,244,,10.125,0.9629629629629629,0.9629629629629629,0.9753086419753086,1.0123456790123457,1,11,16
codecontests_cpp_99,245,,8.0,0.984375,1.046875,0.96875,1.0,0,10,16
codecontests_java_99,246,,11.375,0.978021978021978,0.967032967032967,0.9230769230769231,0.9560439560439561,0,10,16
apps_python_100,247,,8.625,1.0,1.0434782608695652,1.0289855072463767,1.0144927536231885,3,13,16
codecontests_cpp_100,248,,9.5,1.0,1.0,0.9868421052631579,1.013157894736842,0,10,16
codecontests_java_100,249,,12.0625,0.9481865284974094,0.9067357512953368,0.927461139896373,0.917098445595855,0,10,16
