sample_id,base_variant,step_idx,node,rescue_ratio,top1_is_tool,boundary_flip
codecontests_cpp_18,clean_schema_mismatch,2,MLP27,2.748028621495327,True,True
codecontests_cpp_18,clean_no_protocol,1,L21H12,2.4158878504672896,False,False
codecontests_cpp_18,clean_no_protocol,2,MLP27,3.36857476635514,True,True
codecontests_java_18,clean_no_schema,1,L21H12,0.6155,False,True
codecontests_java_18,clean_no_schema,2,MLP27,0.642,True,True
codecontests_java_18,clean_schema_mismatch,1,L21H12,1.596,True,True
codecontests_java_18,clean_schema_mismatch,2,MLP27,1.6479375,True,True
codecontests_java_18,clean_no_protocol,1,L21H12,2.38,False,False
codecontests_java_18,clean_no_protocol,2,MLP27,3.192,True,True
humaneval_python_18,clean_no_schema,1,L21H12,0.01039751838235294,True,True
humaneval_python_18,clean_no_schema,2,MLP27,-0.006893382352941176,True,True
humaneval_python_18,clean_schema_mismatch,1,L21H12,0.8915441176470589,False,False
humaneval_python_18,clean_schema_mismatch,2,MLP27,1.1318933823529411,True,True
humaneval_python_18,clean_no_protocol,1,L21H12,2.0661764705882355,False,False
humaneval_python_18,clean_no_protocol,2,MLP27,2.891544117647059,False,False
codecontests_java_19,clean_no_schema,1,L21H12,0.987281976744186,True,True
codecontests_java_19,clean_no_schema,2,MLP27,1.0423101380813953,True,True
codecontests_java_19,clean_schema_mismatch,1,L21H12,1.8191315406976745,True,True
codecontests_java_19,clean_schema_mismatch,2,MLP27,1.8368317360101745,True,True
codecontests_java_19,clean_no_protocol,1,L21H12,1.873546511627907,False,False
codecontests_java_19,clean_no_protocol,2,MLP27,2.1809365915697674,True,True
apps_python_20,clean_no_schema,1,L21H12,0.023331925675675675,True,True
apps_python_20,clean_no_schema,2,MLP27,0.022487331081081082,True,True
apps_python_20,clean_schema_mismatch,1,L21H12,1.8412162162162162,False,False
apps_python_20,clean_schema_mismatch,2,MLP27,2.337626689189189,True,True
apps_python_20,clean_no_protocol,1,L21H12,2.5135135135135136,False,False
apps_python_20,clean_no_protocol,2,MLP27,4.121621621621622,False,False
codecontests_cpp_20,clean_no_schema,1,L21H12,1.4202453987730062,False,False
codecontests_cpp_20,clean_no_schema,2,MLP27,1.8558282208588956,False,False
codecontests_cpp_20,clean_schema_mismatch,1,L21H12,4.131901840490798,False,False
codecontests_cpp_20,clean_schema_mismatch,2,MLP27,4.738113496932515,True,True
codecontests_cpp_20,clean_no_protocol,1,L21H12,2.7607361963190185,False,False
codecontests_cpp_20,clean_no_protocol,2,MLP27,4.7975460122699385,False,False
codecontests_java_20,clean_no_schema,1,L21H12,0.2232532751091703,True,True
codecontests_java_20,clean_no_schema,2,MLP27,0.2423921943231441,True,True
codecontests_java_20,clean_schema_mismatch,1,L21H12,0.22236626637554585,True,True
codecontests_java_20,clean_schema_mismatch,2,MLP27,0.22999112991266377,True,True
codecontests_java_20,clean_no_protocol,1,L21H12,0.9814410480349345,False,False
codecontests_java_20,clean_no_protocol,2,MLP27,1.183610807860262,True,True
humaneval_python_21,clean_no_schema,1,L21H12,0.050083705357142856,True,True
humaneval_python_21,clean_no_schema,2,MLP27,0.033482142857142856,True,True
humaneval_python_21,clean_schema_mismatch,1,L21H12,1.1116071428571428,False,False
humaneval_python_21,clean_schema_mismatch,2,MLP27,1.6901506696428572,True,True
humaneval_python_21,clean_no_protocol,1,L21H12,2.9375,False,False
humaneval_python_21,clean_no_protocol,2,MLP27,4.162946428571429,False,False
apps_python_22,clean_no_schema,1,L21H12,0.0010213589449541284,True,True
apps_python_22,clean_no_schema,2,MLP27,-0.009013044724770642,True,True
apps_python_22,clean_schema_mismatch,1,L21H12,1.165137614678899,False,False
