sample_id,mode,group,ratio,signed_recovery,base_margin,source_margin,patched_margin,sign_consistent,boundary_flip,closer_to_source,source_dominance,endpoint_authenticity
codecontests_java_5,suppress,forward_only_core,-0.24390243902439024,0.24390243902439024,3.5,-9.3125,0.375,True,False,True,False,0.24390243902439024
codecontests_java_5,suppress,forward_selective,-0.5170731707317073,0.5170731707317073,3.5,-9.3125,-3.125,True,True,True,True,0.5170731707317073
codecontests_java_5,suppress,reverse_only_core,-0.13658536585365855,0.13658536585365855,3.5,-9.3125,1.7499999999999998,True,False,True,False,0.13658536585365855
codecontests_java_5,suppress,reverse_selective,-0.526829268292683,0.526829268292683,3.5,-9.3125,-3.25,True,True,True,True,0.526829268292683
codecontests_java_5,suppress,shared_backbone,-1.0341463414634147,1.0341463414634147,3.5,-9.3125,-9.75,True,True,True,True,0.9658536585365853
codecontests_java_5,suppress,shared_core,-0.9658536585365853,0.9658536585365853,3.5,-9.3125,-8.875,True,True,True,True,0.9658536585365853
codecontests_cpp_6,promote,forward_only_core,0.27586206896551724,0.27586206896551724,-3.25,4.0,-1.25,True,False,True,False,0.27586206896551724
codecontests_cpp_6,promote,forward_selective,0.8275862068965517,0.8275862068965517,-3.25,4.0,2.75,True,True,True,True,0.8275862068965517
codecontests_cpp_6,promote,reverse_only_core,0.29310344827586204,0.29310344827586204,-3.25,4.0,-1.125,True,False,True,False,0.2931034482758621
codecontests_cpp_6,promote,reverse_selective,0.6206896551724138,0.6206896551724138,-3.25,4.0,1.25,True,True,True,True,0.6206896551724138
codecontests_cpp_6,promote,shared_backbone,0.9482758620689655,0.9482758620689655,-3.25,4.0,3.625,True,True,True,True,0.9482758620689655
codecontests_cpp_6,promote,shared_core,0.9827586206896551,0.9827586206896551,-3.25,4.0,3.875,True,True,True,True,0.9827586206896551
codecontests_cpp_6,suppress,forward_only_core,-0.034482758620689655,0.034482758620689655,4.0,-3.25,3.75,True,False,True,False,0.03448275862068961
codecontests_cpp_6,suppress,forward_selective,-0.6206896551724138,0.6206896551724138,4.0,-3.25,-0.5,True,True,True,True,0.6206896551724138
codecontests_cpp_6,suppress,reverse_only_core,-0.13793103448275862,0.13793103448275862,4.0,-3.25,3.0,True,False,True,False,0.13793103448275867
codecontests_cpp_6,suppress,reverse_selective,-0.3793103448275862,0.3793103448275862,4.0,-3.25,1.25,True,False,True,False,0.3793103448275862
codecontests_cpp_6,suppress,shared_backbone,-0.9482758620689655,0.9482758620689655,4.0,-3.25,-2.875,True,True,True,True,0.9482758620689655
codecontests_cpp_6,suppress,shared_core,-1.0,1.0,4.0,-3.25,-3.25,True,True,True,True,1.0
codecontests_java_6,promote,forward_only_core,0.5441860465116279,0.5441860465116279,-10.6875,2.75,-3.374999999999999,True,False,True,True,0.5441860465116279
codecontests_java_6,promote,forward_selective,0.8883720930232558,0.8883720930232558,-10.6875,2.75,1.25,True,True,True,True,0.8883720930232558
codecontests_java_6,promote,reverse_only_core,0.3488372093023256,0.3488372093023256,-10.6875,2.75,-6.0,True,False,True,False,0.34883720930232553
codecontests_java_6,promote,reverse_selective,0.786046511627907,0.786046511627907,-10.6875,2.75,-0.125,True,False,True,True,0.786046511627907
codecontests_java_6,promote,shared_backbone,1.0186046511627906,1.0186046511627906,-10.6875,2.75,3.0,True,True,True,True,0.9813953488372094
codecontests_java_6,promote,shared_core,0.9627906976744186,0.9627906976744186,-10.6875,2.75,2.25,True,True,True,True,0.9627906976744186
codecontests_java_6,suppress,forward_only_core,-0.20465116279069767,0.20465116279069767,2.75,-10.6875,0.0,True,False,True,False,0.20465116279069773
codecontests_java_6,suppress,forward_selective,-0.586046511627907,0.586046511627907,2.75,-10.6875,-5.125,True,True,True,True,0.586046511627907
codecontests_java_6,suppress,reverse_only_core,-0.24186046511627907,0.24186046511627907,2.75,-10.6875,-0.5,True,True,True,False,0.24186046511627912
codecontests_java_6,suppress,reverse_selective,-0.5767441860465117,0.5767441860465117,2.75,-10.6875,-5.000000000000001,True,True,True,True,0.5767441860465117
codecontests_java_6,suppress,shared_backbone,-1.0232558139534884,1.0232558139534884,2.75,-10.6875,-11.0,True,True,True,True,0.9767441860465116
codecontests_java_6,suppress,shared_core,-0.9488372093023256,0.9488372093023256,2.75,-10.6875,-10.0,True,True,True,True,0.9488372093023256
codecontests_java_7,promote,forward_only_core,0.47368421052631576,0.47368421052631576,-5.875,3.625,-1.375,True,False,True,False,0.4736842105263158
codecontests_java_7,promote,forward_selective,0.8289473684210527,0.8289473684210527,-5.875,3.625,2.0,True,True,True,True,0.8289473684210527
codecontests_java_7,promote,reverse_only_core,0.2631578947368421,0.2631578947368421,-5.875,3.625,-3.375,True,False,True,False,0.26315789473684215
codecontests_java_7,promote,reverse_selective,0.5789473684210527,0.5789473684210527,-5.875,3.625,-0.375,True,False,True,True,0.5789473684210527
codecontests_java_7,promote,shared_backbone,0.9473684210526315,0.9473684210526315,-5.875,3.625,3.125,True,True,True,True,0.9473684210526316
codecontests_java_7,promote,shared_core,0.9736842105263158,0.9736842105263158,-5.875,3.625,3.375,True,True,True,True,0.9736842105263158
codecontests_java_7,suppress,forward_only_core,-0.23684210526315788,0.23684210526315788,3.625,-5.875,1.375,True,False,True,False,0.23684210526315785
codecontests_java_7,suppress,forward_selective,-0.6973684210526315,0.6973684210526315,3.625,-5.875,-2.999999999999999,True,True,True,True,0.6973684210526314
codecontests_java_7,suppress,reverse_only_core,-0.10526315789473684,0.10526315789473684,3.625,-5.875,2.625,True,False,True,False,0.10526315789473684
codecontests_java_7,suppress,reverse_selective,-0.3815789473684211,0.3815789473684211,3.625,-5.875,0.0,True,False,True,False,0.381578947368421
codecontests_java_7,suppress,shared_backbone,-0.9078947368421053,0.9078947368421053,3.625,-5.875,-5.0,True,True,True,True,0.9078947368421053
