sample_id,head,variant,span,attn_mass,attn_density,n_tokens
codecontests_java_2,L17H2,corrupt,tail_suffix,0.06218620762228966,0.0056532914750278,11
codecontests_java_2,L17H2,corrupt,task_body,0.12328298389911652,0.0009631483117118478,128
codecontests_java_2,L17H8,clean,lead_phrase,0.0061627598479390144,0.0020542533602565527,3
codecontests_java_2,L17H8,clean,function_body_anchor,0.008057606406509876,0.004028803203254938,2
codecontests_java_2,L17H8,clean,file_target,0.011280100792646408,0.005640050396323204,2
codecontests_java_2,L17H8,clean,tail_suffix,0.09232581406831741,0.00839325599372387,11
codecontests_java_2,L17H8,clean,task_body,0.12796026468276978,0.0009996895678341389,128
codecontests_java_2,L17H8,corrupt,lead_phrase,0.015357144176959991,0.005119048058986664,3
codecontests_java_2,L17H8,corrupt,function_body_anchor,0.020750652998685837,0.010375326499342918,2
codecontests_java_2,L17H8,corrupt,file_target,0.030292263254523277,0.015146131627261639,2
codecontests_java_2,L17H8,corrupt,tail_suffix,0.12373902648687363,0.011249002069234848,11
codecontests_java_2,L17H8,corrupt,task_body,0.11983564496040344,0.0009362159762531519,128
codecontests_java_2,L20H5,clean,lead_phrase,0.00020201830193400383,6.733943155268207e-05,3
codecontests_java_2,L20H5,clean,function_body_anchor,0.01802193745970726,0.00901096872985363,2
codecontests_java_2,L20H5,clean,file_target,0.018596209585666656,0.009298104792833328,2
codecontests_java_2,L20H5,clean,tail_suffix,0.05624900013208389,0.005113545339554548,11
codecontests_java_2,L20H5,clean,task_body,0.06012994050979614,0.00046976516023278236,128
codecontests_java_2,L20H5,corrupt,lead_phrase,0.0004909235867671669,0.0001636411907384172,3
codecontests_java_2,L20H5,corrupt,function_body_anchor,0.1741483360528946,0.0870741680264473,2
codecontests_java_2,L20H5,corrupt,file_target,0.061856772750616074,0.030928386375308037,2
codecontests_java_2,L20H5,corrupt,tail_suffix,0.07075012475252151,0.006431829649955034,11
codecontests_java_2,L20H5,corrupt,task_body,0.08042174577713013,0.0006282948888838291,128
codecontests_cpp_3,L2H14,clean,lead_phrase,0.0684649869799614,0.0342324934899807,2
codecontests_cpp_3,L2H14,clean,function_body_anchor,0.010419952683150768,0.005209976341575384,2
codecontests_cpp_3,L2H14,clean,file_target,0.02299225702881813,0.011496128514409065,2
