sample_id,head,component,rescue_ratio,decision_score,top1_success
mbpp_python_4,L17H2,k,0.0,-4.843109130859375,False
mbpp_python_4,L17H2,v,-0.04516129032258064,-5.062236785888672,False
mbpp_python_4,L17H2,z,0.21935483870967742,-3.77069091796875,False
mbpp_python_4,L17H8,q,0.3903225806451613,-2.9342041015625,False
mbpp_python_4,L17H8,k,-0.025806451612903226,-4.967735290527344,False
mbpp_python_4,L17H8,v,0.025806451612903226,-4.718454360961914,False
mbpp_python_4,L17H8,z,0.34838709677419355,-3.14324951171875,False
mbpp_python_4,L20H5,q,0.03870967741935484,-4.655820846557617,False
mbpp_python_4,L20H5,k,0.01935483870967742,-4.7492828369140625,False
mbpp_python_4,L20H5,v,-0.025806451612903226,-4.967742919921875,False
mbpp_python_4,L20H5,z,0.3903225806451613,-2.927734375,False
apps_python_5,L2H14,q,0.1695906432748538,-4.436622619628906,False
apps_python_5,L2H14,k,0.30994152046783624,-3.6840057373046875,False
apps_python_5,L2H14,v,0.07017543859649122,-4.9665069580078125,False
apps_python_5,L2H14,z,0.21637426900584794,-4.186042785644531,False
apps_python_5,L16H8,q,0.15789473684210525,-4.498222351074219,False
apps_python_5,L16H8,k,0.08771929824561403,-4.87462043762207,False
apps_python_5,L16H8,v,0.05263157894736842,-5.062541723251343,False
apps_python_5,L16H8,z,0.34210526315789475,-3.50885009765625,False
apps_python_5,L17H2,q,0.32456140350877194,-3.6043701171875,False
apps_python_5,L17H2,k,0.03508771929824561,-5.155889511108398,False
apps_python_5,L17H2,v,0.07017543859649122,-4.968395233154297,False
apps_python_5,L17H2,z,0.30994152046783624,-3.678955078125,False
apps_python_5,L17H8,q,0.391812865497076,-3.243072509765625,False
apps_python_5,L17H8,k,0.017543859649122806,-5.249608993530273,False
apps_python_5,L17H8,v,0.03508771929824561,-5.156283855438232,False
apps_python_5,L17H8,z,0.34210526315789475,-3.510162353515625,False
apps_python_5,L20H5,q,0.1871345029239766,-4.342781066894531,False
apps_python_5,L20H5,k,0.05263157894736842,-5.0619964599609375,False
apps_python_5,L20H5,v,0.03508771929824561,-5.1562687158584595,False
apps_python_5,L20H5,z,0.17543859649122806,-4.4035491943359375,False
codecontests_cpp_5,L2H14,q,-0.033783783783783786,-4.780097961425781,False
codecontests_cpp_5,L2H14,k,0.08108108108108109,-4.2452392578125,False
codecontests_cpp_5,L2H14,v,0.11486486486486487,-4.0872802734375,False
codecontests_cpp_5,L2H14,z,-0.02702702702702703,-4.747955322265625,False
codecontests_cpp_5,L16H8,q,0.23986486486486486,-3.504638671875,False
codecontests_cpp_5,L16H8,k,-0.02702702702702703,-4.749706268310547,False
codecontests_cpp_5,L16H8,v,-0.10810810810810811,-5.1220245361328125,False
codecontests_cpp_5,L16H8,z,0.38513513513513514,-2.8133544921875,False
codecontests_cpp_5,L17H2,q,0.28716216216216217,-3.2847900390625,False
codecontests_cpp_5,L17H2,k,-0.006756756756756757,-4.655460357666016,False
codecontests_cpp_5,L17H2,v,0.0472972972972973,-4.405204772949219,False
codecontests_cpp_5,L17H2,z,0.25675675675675674,-3.4254150390625,False
codecontests_cpp_5,L17H8,q,0.34121621621621623,-3.0257568359375,False
codecontests_cpp_5,L17H8,k,0.02027027027027027,-4.529998779296875,False
codecontests_cpp_5,L17H8,v,0.0,-4.623313903808594,False
codecontests_cpp_5,L17H8,z,0.46283783783783783,-2.431884765625,False
codecontests_cpp_5,L20H5,q,0.20270270270270271,-3.6815185546875,False
codecontests_cpp_5,L20H5,k,0.02027027027027027,-4.531650543212891,False
codecontests_cpp_5,L20H5,v,0.02027027027027027,-4.530803680419922,False
codecontests_cpp_5,L20H5,z,0.3108108108108108,-3.1700439453125,False
codecontests_java_5,L2H14,q,0.171875,-6.623237609863281,False
codecontests_java_5,L2H14,k,0.27734375,-5.77685546875,False
codecontests_java_5,L2H14,v,0.15625,-6.7474822998046875,False
codecontests_java_5,L2H14,z,0.16015625,-6.71307373046875,False
codecontests_java_5,L16H8,q,0.09765625,-7.21722412109375,False
codecontests_java_5,L16H8,k,0.01171875,-7.9048614501953125,False
codecontests_java_5,L16H8,v,0.06640625,-7.467681884765625,False
codecontests_java_5,L16H8,z,0.20703125,-6.3385009765625,False
codecontests_java_5,L17H2,q,0.234375,-6.11700439453125,False
codecontests_java_5,L17H2,k,0.0390625,-7.685943603515625,False
codecontests_java_5,L17H2,v,-0.015625,-8.123146057128906,False
codecontests_java_5,L17H2,z,0.3359375,-5.2958984375,False
codecontests_java_5,L17H8,q,0.3203125,-5.430328369140625,False
codecontests_java_5,L17H8,k,0.01171875,-7.9051666259765625,False
codecontests_java_5,L17H8,v,0.0390625,-7.684661865234375,False
codecontests_java_5,L17H8,z,0.37109375,-5.013671875,False
codecontests_java_5,L20H5,q,0.13671875,-6.9002685546875,False
codecontests_java_5,L20H5,k,0.01171875,-7.905773162841797,False
codecontests_java_5,L20H5,v,-0.046875,-8.373512268066406,False
codecontests_java_5,L20H5,z,0.37890625,-4.9586181640625,False
codecontests_cpp_6,L2H14,q,-0.4787234042553192,-4.3128662109375,False
codecontests_cpp_6,L2H14,k,0.03723404255319149,-2.8270950317382812,False
codecontests_cpp_6,L2H14,v,0.0797872340425532,-2.702617645263672,False
codecontests_cpp_6,L2H14,z,-0.648936170212766,-4.794921875,False
