source,target,support_weighted,support_unweighted
L16H9,MLP20,0.02922605151617719,0.027972027972027972
L20H14,L24H6,0.02922605151617719,0.027972027972027972
L20H14,L23H6,0.02922605151617719,0.027972027972027972
MLP9,L13H6,0.02922605151617719,0.027972027972027972
MLP11,MLP14,0.02922605151617719,0.027972027972027972
L15H5,MLP17,0.02922605151617719,0.027972027972027972
MLP8,L13H3,0.02922605151617719,0.027972027972027972
MLP0,L9H3,0.0289822301742736,0.027972027972027972
L14H13,MLP16,0.028864785046046667,0.027972027972027972
L13H3,MLP17,0.028864785046046667,0.027972027972027972
L13H13,MLP16,0.02862120021696704,0.027972027972027972
L16H13,L17H2,0.028526581425103746,0.027972027972027972
L20H14,L21H1,0.028526581425103746,0.027972027972027972
MLP15,MLP16,0.02837232260490918,0.027972027972027972
MLP11,L15H9,0.028367064930775596,0.027972027972027972
MLP12,L17H1,0.028284084752349548,0.027972027972027972
L13H3,L16H8,0.028216769335718886,0.027972027972027972
L20H5,L21H1,0.028194467203329007,0.027972027972027972
L16H4,MLP19,0.028083762462737423,0.027972027972027972
MLP6,L16H8,0.028036096490043478,0.027972027972027972
L17H1,MLP27,0.027958649463901152,0.027972027972027972
MLP6,L13H9,0.027951189448511188,0.027972027972027972
MLP11,L16H6,0.027896521707592836,0.027972027972027972
L11H8,MLP27,0.02786051990885586,0.027972027972027972
L13H9,L16H4,0.027829078777860387,0.027972027972027972
MLP12,L13H13,0.02772742915124728,0.027972027972027972
MLP4,L16H8,0.02768985181529885,0.027972027972027972
L2H14,MLP11,0.027549419499344252,0.027972027972027972
L16H6,MLP27,0.027509839512924066,0.027972027972027972
MLP16,MLP20,0.027466431499789036,0.027972027972027972
L12H6,MLP17,0.027211932538379613,0.027972027972027972
L2H15,MLP12,0.027210791559209344,0.027972027972027972
L14H5,MLP16,0.0271807174208371,0.027972027972027972
MLP5,L13H9,0.027113704425016573,0.027972027972027972
L15H9,L16H8,0.027095574862817308,0.027972027972027972
L10H5,MLP12,0.027064042067550715,0.027972027972027972
L11H8,MLP12,0.027005581865762036,0.027972027972027972
MLP3,L9H3,0.026992109078597608,0.027972027972027972
L2H15,L12H6,0.026857084534288218,0.027972027972027972
L10H5,L12H6,0.026621018664296874,0.027972027972027972
L16H13,MLP27,0.026231521087499435,0.027972027972027972
MLP4,L12H6,0.02611657870742851,0.027972027972027972
MLP9,MLP12,0.025986555227520268,0.027972027972027972
MLP18,L20H5,0.02593756168006945,0.027972027972027972
MLP3,L6H0,0.025836264650699065,0.027972027972027972
L2H15,MLP5,0.025801619674166363,0.027972027972027972
MLP12,L18H14,0.025783849434847537,0.027972027972027972
MLP5,L10H2,0.02502484528062805,0.027972027972027972
L2H14,MLP5,0.02502484528062805,0.027972027972027972
L15H5,L16H13,0.021919538637132894,0.02097902097902098
L12H10,L15H5,0.021919538637132894,0.02097902097902098
L12H10,MLP16,0.021919538637132894,0.02097902097902098
L15H4,L16H9,0.021919538637132894,0.02097902097902098
L6H0,L11H9,0.021919538637132894,0.02097902097902098
L11H9,MLP12,0.021919538637132894,0.02097902097902098
MLP13,MLP27,0.021919538637132894,0.02097902097902098
L2H14,MLP3,0.021919538637132894,0.02097902097902098
L11H1,L16H9,0.021919538637132894,0.02097902097902098
L21H1,Residual Output: no_tool,0.021919538637132894,0.02097902097902098
MLP3,L11H1,0.021919538637132894,0.02097902097902098
MLP8,L16H8,0.021919538637132894,0.02097902097902098
MLP4,L12H0,0.021919538637132894,0.02097902097902098
MLP7,L11H1,0.021919538637132894,0.02097902097902098
MLP2,L16H4,0.02180216493626471,0.02097902097902098
MLP2,L16H8,0.02180216493626471,0.02097902097902098
L11H5,MLP16,0.021792468847932123,0.02097902097902098
MLP4,L9H3,0.02177627367872026,0.02097902097902098
L20H14,L21H12,0.021757171684265244,0.02097902097902098
MLP9,L16H4,0.02164277678565394,0.02097902097902098
L21H1,L24H6,0.021625997213942653,0.02097902097902098
MLP19,MLP21,0.02161510060050605,0.02097902097902098
MLP15,L17H2,0.02159719248070447,0.02097902097902098
MLP15,L17H8,0.02159719248070447,0.02097902097902098
MLP2,MLP12,0.021573836408794577,0.02097902097902098
L14H13,L16H8,0.021558272167002367,0.02097902097902098
L13H6,L14H13,0.021558272167002367,0.02097902097902098
MLP7,L12H0,0.021503413273459514,0.02097902097902098
L10H5,MLP11,0.021476515233879053,0.02097902097902098
L12H6,L16H13,0.021476515233879053,0.02097902097902098
MLP1,L12H6,0.021467448152742027,0.02097902097902098
